desertionNo,filename,happenDt,happenPlace,kindCd,colorCd,age,weight,noticeNo,noticeSdt,noticeEdt,popfile,processState,sexCd,neuterYn,specialMark,careNm,careTel,careAddr,orgNm,chargeNm,officetel
447525202200278,http://www.animal.go.kr/files/shelter/2022/08/202208231708861_s.jpg,20220823,매화면 삼산신흥로10,[개] 믹스견,갈색.흰색,2021(년생),4.5(Kg),경북-울진-2022-00177,20220823,20220830,http://www.animal.go.kr/files/shelter/2022/08/202208231708861.jpg,보호중,F,N,온순하지만 겁이많음,울진군동물보호센터,054-789-6795,경상북도 울진군 울진읍 대흥신림로 916-37,경상북도 울진군,울진군,054-789-6793
447525202200277,http://www.animal.go.kr/files/shelter/2022/08/20220823100867_s.jpg,20220823,근남 아성 아파트,[개] 믹스견,흰색.검정색,2021(년생),10.00(Kg),경북-울진-2022-00176,20220823,20220830,http://www.animal.go.kr/files/shelter/2022/08/20220823100867.jpg,보호중,M,N,온순하지만 겁이많음,울진군동물보호센터,054-789-6795,경상북도 울진군 울진읍 대흥신림로 916-37,경상북도 울진군,울진군,054-789-6793
447523202200503,http://www.animal.go.kr/files/shelter/2022/08/202208231708753_s.jpg,20220823,감천면 자봉길,[개] 믹스견,검정,2022(년생),2(Kg),경북-예천-2022-00311,20220823,20220902,http://www.animal.go.kr/files/shelter/2022/08/202208231708753.jpg,보호중,M,N,9마리 새끼를 낳음. 정황상 자기개인데 아니라고 속이고 신고한것 같음. 책임감을 가지시길,예천군유기동물보호소,054-650-8167,"경상북도 예천군 예천읍 충효로 632-84 (예천읍, 유기동물보호소)",경상북도 예천군,예천군,054-650-8167
447523202200502,http://www.animal.go.kr/files/shelter/2022/08/202208231708461_s.jpg,20220823,감천면 자봉길,[개] 믹스견,흰색,2022(년생),2(Kg),경북-예천-2022-00310,20220823,20220902,http://www.animal.go.kr/files/shelter/2022/08/202208231708461.jpg,보호중,F,N,9마리 새끼를 낳음. 정황상 자기개인데 아니라고 속이고 신고한것 같음. 책임감을 가지시길,예천군유기동물보호소,054-650-8167,"경상북도 예천군 예천읍 충효로 632-84 (예천읍, 유기동물보호소)",경상북도 예천군,예천군,054-650-8167
447523202200501,http://www.animal.go.kr/files/shelter/2022/08/202208231708631_s.jpg,20220823,감천면 자봉길,[개] 믹스견,흰색,2022(년생),2(Kg),경북-예천-2022-00309,20220823,20220902,http://www.animal.go.kr/files/shelter/2022/08/202208231708631.jpg,보호중,M,N,중성화 안하고 밖에서 키우다가 새끼를 낳았는데 유기견이 들어왔다고 속인것같음. 책임감을 좀 가지시길,예천군유기동물보호소,054-650-8167,"경상북도 예천군 예천읍 충효로 632-84 (예천읍, 유기동물보호소)",경상북도 예천군,예천군,054-650-8167
447523202200500,http://www.animal.go.kr/files/shelter/2022/08/202208231708331_s.jpg,20220823,감천면 자봉길,[개] 믹스견,검정,2022(년생),2(Kg),경북-예천-2022-00308,20220823,20220902,http://www.animal.go.kr/files/shelter/2022/08/202208231708331.jpg,보호중,M,N,중성화 안하고 밖에서 키우다가 새끼를 낳았는데 유기견이 들어왔다고 속인것같음. 책임감을 좀 가지시길,예천군유기동물보호소,054-650-8167,"경상북도 예천군 예천읍 충효로 632-84 (예천읍, 유기동물보호소)",경상북도 예천군,예천군,054-650-8167
447523202200499,http://www.animal.go.kr/files/shelter/2022/08/202208231708344_s.jpg,20220823,감천면 자봉길,[개] 믹스견,검정,2022(년생),2(Kg),경북-예천-2022-00307,20220823,20220902,http://www.animal.go.kr/files/shelter/2022/08/202208231708344.jpg,보호중,M,N,중성화 안하고 밖에서 키우다가 새끼를 낳았는데 유기견이 들어왔다고 속인것같음. 책임감을 좀 가지시길,예천군유기동물보호소,054-650-8167,"경상북도 예천군 예천읍 충효로 632-84 (예천읍, 유기동물보호소)",경상북도 예천군,예천군,054-650-8167
447523202200498,http://www.animal.go.kr/files/shelter/2022/08/202208231708886_s.jpg,20220823,보문면 미호교 부근,[개] 믹스견,"연한갈색,흰색",2022(년생),4(Kg),경북-예천-2022-00306,20220823,20220902,http://www.animal.go.kr/files/shelter/2022/08/202208231708886.jpg,보호중,M,N,"눈썹미남, 초롱초롱한 눈빛, 유니크갑, 믹스애기들도 착하고 사랑받을 자격이 있어요 한번씩 봐주시길",예천군유기동물보호소,054-650-8167,"경상북도 예천군 예천읍 충효로 632-84 (예천읍, 유기동물보호소)",경상북도 예천군,예천군,054-650-8167
447523202200497,http://www.animal.go.kr/files/shelter/2022/08/202208231708543_s.jpg,20220823,보문면 미호교 부근,[개] 믹스견,"흰색,갈색",2019(년생),6(Kg),경북-예천-2022-00305,20220823,20220902,http://www.animal.go.kr/files/shelter/2022/08/202208231708543.jpg,보호중,F,U,난 꿈을 꾸어요 여기가 내 마지막이 아니기를..난 또 꿈을 꾸어요. 내 새 가족이 나에게 오기를..,예천군유기동물보호소,054-650-8167,"경상북도 예천군 예천읍 충효로 632-84 (예천읍, 유기동물보호소)",경상북도 예천군,예천군,054-650-8167
447522202200318,http://www.animal.go.kr/files/shelter/2022/08/202208231208363_s.jpg,20220823,왜관읍석전리,[개] 믹스견,갈색,2021(년생),17(Kg),경북-칠곡-2022-00237,20220823,20220831,http://www.animal.go.kr/files/shelter/2022/08/202208231208363.jpg,종료(입양),F,N,시골집에들어와3일간안나감 라브라도믹스견 성격차분함,칠곡유기동물보호센터,054-973-5710,경상북도 칠곡군 석적읍 포망로 341 (석적읍),경상북도 칠곡군,동물보호담당,054-979-6493
447521202200528,http://www.animal.go.kr/files/shelter/2022/08/202208230908722_s.jpg,20220823,용암면 동락리 945-1,[개] 포메라니안,갈+검+흰,2022(년생),5(Kg),경북-성주-2022-00324,20220823,20220830,http://www.animal.go.kr/files/shelter/2022/08/202208230908722.jpg,보호중,M,N,겁많고 순함,성주유기동물보호센터,010-2949-6699,경상북도 성주군 선남면 선노로 522 (선남면),경상북도 성주군,박귀,054-930-6684
447521202200527,http://www.animal.go.kr/files/shelter/2022/08/202208230908417_s.jpg,20220823,선남면 선노로 522,[개] 화이트테리어,흰색,2022(년생),1(Kg),경북-성주-2022-00323,20220823,20220830,http://www.animal.go.kr/files/shelter/2022/08/202208230908417.jpg,보호중,M,N,애교많고 발랄함,성주유기동물보호센터,010-2949-6699,경상북도 성주군 선남면 선노로 522 (선남면),경상북도 성주군,박귀,054-930-6684
447519202200161,http://www.animal.go.kr/files/shelter/2022/08/202208231308191_s.jpg,20220823,화양읍 범곡길,[개] 믹스견,검갈색,2022(년생),2(Kg),경북-청도-2022-00161,20220823,20220902,http://www.animal.go.kr/files/shelter/2022/08/202208231308191.jpg,보호중,F,U,2개월추정/어미와같이 구조,청도군동물보호소,054-370-6558,경상북도 청도군 화양읍 청화3길 10  청도군 농업기술센터,경상북도 청도군,청도군,054-370-6558
447519202200160,http://www.animal.go.kr/files/shelter/2022/08/202208231308792_s.jpg,20220823,화양읍 범곡길,[개] 믹스견,흰색,2022(년생),1.5(Kg),경북-청도-2022-00160,20220823,20220902,http://www.animal.go.kr/files/shelter/2022/08/202208231308792.jpg,보호중,M,U,2개월추정/어미와같이 구조,청도군동물보호소,054-370-6558,경상북도 청도군 화양읍 청화3길 10  청도군 농업기술센터,경상북도 청도군,청도군,054-370-6558
447519202200159,http://www.animal.go.kr/files/shelter/2022/08/20220823130883_s.jpg,20220823,화양읍 범곡길,[개] 믹스견,흰색,2022(년생),2(Kg),경북-청도-2022-00159,20220823,20220902,http://www.animal.go.kr/files/shelter/2022/08/20220823130883.jpg,보호중,M,U,2개월추정/어미와같이 구조,청도군동물보호소,054-370-6558,경상북도 청도군 화양읍 청화3길 10  청도군 농업기술센터,경상북도 청도군,청도군,054-370-6558
