desertionNo,filename,happenDt,happenPlace,kindCd,colorCd,age,weight,noticeNo,noticeSdt,noticeEdt,popfile,processState,sexCd,neuterYn,specialMark,careNm,careTel,careAddr,orgNm,chargeNm,officetel,noticeComment
448531202200971,http://www.animal.go.kr/files/shelter/2022/07/202208081608470_s.jpg,20220808,진주시 창렬로210-18,[개] 비숑 프리제,흰색,2016(년생),7.1(Kg),경남-진주-2022-00463,20220808,20220818,http://www.animal.go.kr/files/shelter/2022/07/202208081608470.jpg,종료(입양),M,Y,순함 사람 좋아함,진주시유기동물보호소,055-749-6134,"경상남도 진주시 집현면 신당길207번길 22 (집현면, 지역농업개발시설)",경상남도 진주시,진주시청,055-749-6204,
448531202200970,http://www.animal.go.kr/files/shelter/2022/07/202208081508223_s.jpg,20220808,진주시 진성면 동부로 1370번길 57-1,[개] 믹스견,흰색+갈색+검정색,2020(년생),4.5(Kg),경남-진주-2022-00462,20220808,20220818,http://www.animal.go.kr/files/shelter/2022/07/202208081508223.jpg,보호중,M,N,순함  날뜀 가축목태  쇠개줄,진주시유기동물보호소,055-749-6134,"경상남도 진주시 집현면 신당길207번길 22 (집현면, 지역농업개발시설)",경상남도 진주시,진주시청,055-749-6204,
448528202200746,http://www.animal.go.kr/files/shelter/2022/07/202208081108709[1]_s.jpg,20220808,내서읍 감천리 1351-8,[개] 믹스견,연갈색+검정,2020(년생),6(Kg),경남-창원2-2022-00198,20220808,20220818,http://www.animal.go.kr/files/shelter/2022/07/202208081108709[1].jpg,보호중,M,N,"왼쪽 뒷다리 부상, 병원이송, 병원진료내용 (발목, 발가락등 다발성 골절과 괴사 진행됨)",마산유기동물보호소,055-225-5701,경상남도 창원시 마산합포구 진북면 지산2길 139-112 226-19,경상남도 창원시 마산합포회원구,창원시마산합포회원구,055-225-5701,
447521202200406,http://www.animal.go.kr/files/shelter/2022/07/202208081508550_s.jpg,20220808,선남면 용신리603,[개] 실키테리어,검은색,2022(년생),2(Kg),경북-성주-2022-00313,20220808,20220816,http://www.animal.go.kr/files/shelter/2022/07/202208081508550.jpg,종료(입양),F,N,3차 예방접종완료.털이 아주 매력적이나 더워서 깍음,성주유기동물보호센터,010-2949-6699,경상북도 성주군 선남면 선노로 522 (선남면),경상북도 성주군,박귀,054-930-6684,
447521202200404,http://www.animal.go.kr/files/shelter/2022/07/202208081208276_s.jpg,20220808,성주군 대가면 옥성3길94-17,[개] 믹스견,흰+검,2022(년생),5(Kg),경북-성주-2022-00311,20220808,20220816,http://www.animal.go.kr/files/shelter/2022/07/202208081208276.jpg,보호중,F,N,사람좋아하고 아주 온순함,성주유기동물보호센터,010-2949-6699,경상북도 성주군 선남면 선노로 522 (선남면),경상북도 성주군,박귀,054-930-6684,
447518202200263,http://www.animal.go.kr/files/shelter/2022/07/202208081008154_s.jpg,20220808,축산면 부곡ㄹ길23-1부근,[개] 믹스견,흰색,2021(년생),7(Kg),경북-영덕-2022-00237,20220808,20220818,http://www.animal.go.kr/files/shelter/2022/07/202208081008154.jpg,보호중,F,N,얌전하고 사람을 잘따름 집에서 뛰쳐나왓는지 목띠랑 줄이랑 가치 잇음,영덕유기동물보호센터,054-730-6286,경상북도 영덕군 영덕읍 구미2길 14-1 (영덕읍) 영덕군유기동물보호센터,경상북도 영덕군,최부학,054-730-6286,
447516202200203,http://www.animal.go.kr/files/shelter/2022/07/202208081908222_s.jpg,20220808,부남면 돌고개길 8-4,[개] 믹스견,흰색,2022(년생),3(Kg),경북-청송-2022-00154,20220808,20220818,http://www.animal.go.kr/files/shelter/2022/07/202208081908222.jpg,종료(안락사),F,N,"바짝 선 귀, 사육흔적 없음, 새끼 강아지",점곡보호소,054-870-6282,경상북도 청송군 현동면 청송로 3128-141,경상북도 청송군,청송군,054-870-6282,
447516202200202,http://www.animal.go.kr/files/shelter/2022/07/202208081908849_s.jpg,20220808,부남면 돌고개길 8-4,[개] 믹스견,흰색,2022(년생),4(Kg),경북-청송-2022-00153,20220808,20220818,http://www.animal.go.kr/files/shelter/2022/07/202208081908849.jpg,종료(안락사),F,N,"바짝 선 귀, 사육흔적 없음, 새끼 강아지",점곡보호소,054-870-6282,경상북도 청송군 현동면 청송로 3128-141,경상북도 청송군,청송군,054-870-6282,
447513202200831,http://www.animal.go.kr/files/shelter/2022/07/202208081508803_s.jpg,20220808,진량 내리리,[고양이] 한국 고양이,"검정, 흰색",2022(년생),0.48(Kg),경북-경산-2022-00537,20220808,20220818,http://www.animal.go.kr/files/shelter/2022/07/202208081508803.jpg,보호중,M,N,"생후 40일령 추정, 원룸 인근에서 구조",경산시유기동물보호소,010-2536-0955,경상북도 경산시 용성면 사양지길 95 (용성면),경상북도 경산시,김홍근,053-810-6744,
447513202200830,http://www.animal.go.kr/files/shelter/2022/07/202208081208146_s.jpg,20220808,남산 사월리,[개] 믹스견,"갈색, 흰색",2021(년생),8.5(Kg),경북-경산-2022-00536,20220808,20220818,http://www.animal.go.kr/files/shelter/2022/07/202208081208146.jpg,보호중,M,N,인근 가정집에서 포획하여 구조,경산시유기동물보호소,010-2536-0955,경상북도 경산시 용성면 사양지길 95 (용성면),경상북도 경산시,김홍근,053-810-6744,
447513202200829,http://www.animal.go.kr/files/shelter/2022/07/202208081208755_s.jpg,20220808,남산 경리,[개] 믹스견,"흰색, 크림색",2022(년생),2.3(Kg),경북-경산-2022-00535,20220808,20220818,http://www.animal.go.kr/files/shelter/2022/07/202208081208755.jpg,보호중,M,N,"생후 70일령 추정, 인근 공장앞에서 발견되어 구조",경산시유기동물보호소,010-2536-0955,경상북도 경산시 용성면 사양지길 95 (용성면),경상북도 경산시,김홍근,053-810-6744,
