animalCnterNm,institutionNm,animalCnterType,rescueAnimal,latitude,longitude
강진군유기견보호소,강진군청,법인,개,34.62481086,126.7773884
수성구유기동물보호센터,대구시수의사회,법인,"개,고양이,기타반려동물",35.922372,128.599029
강북동물병원,공주시청,개인,반려동물,36.4723104,127.1343227
죽전TNR동물병원,경기도 광주시청,동물병원,개+고양이,37.3308494,127.1512673
베스트동물병원,강화군청,동물병원,유기동물,37.73968003,126.5054316
고성군임시보호소,고성군청,개인,개,38.369034,128.493527
부산동물보호센터,경상남도 김해시청,단체,유기동물,35.1345653,128.9282488
(사)대구광역시수의사회,대구광역시 중구청,동물병원,개+고양이+피학대 동물,35.922346,128.599039
한국동물구조관리협회,의정부시청,법인,개,37.87011581,126.9835431
베스트동물병원,인천광역시 강화군,동물병원,"개, 고양이, 염소, 돼지",37.73968003,126.5054316
가정동물병원,인천광역시 서구,동물병원,"개, 고양이",37.5156229,126.673054
신영재동물병원,인천광역시 계양구,동물병원,"개, 고양이",37.5488214,126.741393
백마동물병원,인천광역시 부평구,동물병원,"개, 고양이",37.5032695,126.7220809
인천수의사회 유기동물보호소,"인천광역시 미추홀구,연수구,남동구,옹진군",단체,"개, 고양이, 토끼, 기니픽, 고슴도치",37.56623917,126.719643
울산유기동물보호센터,울산광역시 북구청,단체,개+고양이,35.3911384,129.2859116
양양군유기동물보호소,강원도 양양군청,법인,개,38.0750765,128.6339979
(사)한국동물구조관리협회,서울특별시 은평구청,법인,개+고양이,37.8700725,126.9832252
영암 유기동물 삼호 보호소,전라남도 영암군청,개인,개,34.748372,126.485851
양산시동물보호센터,양산시농업기술센터,법인,개+고양이,35.32454,129.034119
칠곡군 동물보호센터,칠곡 유기견사랑,단체,"개, 부상당한 고양이, 어미잃은 2개월령 이하 새끼 고양이",36.04089006,128.441937
태백유기동물,강원도 태백시,개인,개,37.1728393,129.040746
진천동물병원,충청북도 진천군청,동물병원,개+고양이,36.862278,127.436167
광주광역시동물보호소,광주광역시청,단체,유기동물,35.222608,126.8817785
당진시동물보호소,충청남도 당진시농업기술센터,개인,"개, 고양이",36.934202,126.596254
다온 유기동물 보호센터,축산과,개인,"개, 고양이",36.452839,128.163931
금정동물병원,군포시,동물병원,개(유기견)+고양이(다치거나 3개월령전의 새끼고양이),37.370857,126.936744
가평군 유기동물 보호소,경기도 가평군청,동물병원,개+고양이,37.845891,127.497781
수성동물병원,화성시,개인,고양이,37.20552311,126.8071689
청산동물병원,화성시,개인,"개, 고양이",37.08217697,126.8171921
남양동물보호센터,화성시,개인,"개, 고양이",37.22468804,126.8431305
울산유기동물보호센터,울산광역시 남구청,단체,개+고양이+기타,35.3911384,129.2859116
강남동물병원,울산광역시 남구청,동물병원,개+고양이+기타,35.54260567,129.3304759
리틀쥬동물병원,울산광역시 남구청,동물병원,개+고양이+기타,35.5417375,129.3063126
스마일동물병원,울산광역시 남구청,동물병원,개+고양이+기타,35.5446881,129.2609529
남산동물병원,울산광역시 남구청,동물병원,개+고양이+기타,35.5519099,129.2680385
청조동물병원,연제구청,동물병원,유기동물,35.1929568,129.0912906
오산시수의사회,오산시청,동물병원,개+고양이,37.149051,127.0652021
구미시유기동물보호센터,경상북도 구미시 선산출장소 축산과,단체,개+고양이,36.19478184,128.3762696
누리동물보호센터,부산광역시 기장군청,동물병원,개+고양이+기타,35.194811,129.2063155
거제시유기동물보호소,경상남도 거제시,법인,유기동물,34.8837693,128.5736677
인천종합동물병원,인천광역시 동구청,동물병원,개+고양이,37.476572,126.6336309
누리동물병원,동래구청,법인,유기동물,35.194826,129.206332
(사)한국동물구조관리협회,서울특별시 강남구청,법인,개+고양이+햄스터+앵무새,37.87011581,126.9835431
동울산동물병원,울산광역시동구,동물병원,"개, 고양이, 파충류,조류,설치류",35.50765109,129.4298325
일산동물의료센터,울산광역시동구,동물병원,"개, 고양이, 파충류,조류,설치류",35.49940732,129.4280944
신영재동물병원,인천광역시 계양구청,동물병원,"개,고양이 등",37.548821,126.741361
목포시유기동물보호소,전라남도 목포시,개인,개+고양이,34.85347034,126.4314953
(사단)한국동물구조관리협회,서울특별시 서대문구청,법인,개 등 주인을 잃은 반려동물,37.87011581,126.9835431
서구동물보호센터,대구광역시 서구청,단체,개+고양이+기타동물,35.922347,128.599041
청양보호소,충청남도 청양군청,동물병원,고양이+개,36.45055688,126.804759
종합가축병원,문경시청,동물병원,개+고양이,36.599668,128.202545
동물구조관리협회,서울특별시 노원구청,법인,유기동물,37.870073,126.983225
부산동물보호센터,부산광역시 중구,단체,"유실,유기, 피학대 동물",35.134758,128.928206
인천광역시수의사회유기동물보호소,인천시수의사회,단체,"유기, 유실동물",37.56623917,126.7196301
위더스동물메디컬센터 부설 동물보호센터,여주시,동물병원,개+고양이,37.29723784,127.5759443
(사)한국동물구조관리협회,서울특별시 영등포구청,법인,개+고양이 등 유실·유기동물 및 피학대 동물,37.87011581,126.9835431
(사)동물구조관리협회,서울특별시 송파구청,법인,고통을 느낄 수 있는 척추동물+도심에서 자생하는 길고양이는 제외,37.8700725,126.9832252
구례보호소,구례군청,동물병원,"개,고양이",35.1976543,127.4835919
대구광역시 달성군 동물보호센터,달성군청,법인,개+고양이+기타,35.922346,128.599039
백마동물병원,인천광역시 부평구,동물병원,"개+고양이+기타(고슴도치, 앵무새, 토끼, 햄스터 등)",37.503228,126.7220809
푸른곡성동물보호소,전라남도 곡성군,개인,개+고양이,35.24814012,127.2598343
의성동물보호센터,경상북도 의성군청,개인,개,36.329258,128.733164
원주시유기동물보호센터,강원도 원주시청,개인,개+고양이,37.416061,127.911829
무안군유기동물센터,전라남도 무안군청,개인,개+고양이,34.98072014,126.4346123
정주동물병원,전라북도 정읍시청,동물병원,개,35.60292957,126.9922881
단양군유기동물보호소,단양군,단체,"개, 고양이 등 유기동물",37.017103,128.301233
홍천군유기동물보호소,홍천군청 축산과,법인,개+고양이,37.75509053,127.947423
러브펫종합동물병원,서울특별시 관악구청,동물병원,개+고양이+기타유기동물,37.48117647,126.9095736
임시동물보호소,충청남도 보령시농업기술센터,개인,"개, 고양이, 염소",36.3325806,126.5882243
부산동물보호센터,강서구청,법인,"개,고양이,기타",35.1514433,128.9396329
